Timestamp,RAM_Usage(%),CPU_Usage(%),Active_Processes,Disk_Read_Speed(MB/s),Disk_Write_Speed(MB/s),GPU_Usage,Optimized,Reason
2026-01-10 11:00:29,91.7,73.2,424,159.51,0.00,32%,True,High RAM Auto-Trigger
2026-01-10 11:00:34,81.6,67.5,428,19.68,22.30,32%,False,
2026-01-10 11:00:40,77.2,52.4,428,11.74,12.34,36%,False,
2026-01-10 11:00:45,79.1,49.0,428,6.09,4.86,35%,False,
2026-01-10 11:00:50,74.0,38.8,428,8.83,0.69,32%,False,
2026-01-10 11:00:55,74.3,41.1,429,21.93,2.57,33%,False,
2026-01-10 11:01:00,75.0,34.9,430,9.81,1.30,33%,False,
2026-01-10 11:01:05,74.6,33.0,430,1.78,1.04,32%,False,
2026-01-10 11:01:10,74.9,33.8,430,4.75,0.59,34%,False,
2026-01-10 11:01:15,74.9,27.4,429,1.21,0.67,32%,False,
2026-01-10 11:01:20,74.7,27.1,429,1.54,0.49,32%,False,
2026-01-10 11:01:25,74.3,28.6,429,1.56,0.36,32%,False,
2026-01-10 11:01:30,80.5,29.0,429,1.08,0.58,32%,False,
2026-01-10 11:01:35,79.3,32.9,429,2.89,0.30,31%,False,
2026-01-10 11:01:40,79.6,31.8,429,0.90,0.44,31%,False,
2026-01-10 11:01:46,80.0,31.1,430,2.88,0.35,32%,False,
2026-01-10 11:01:51,80.3,29.1,430,1.47,1.32,33%,False,
2026-01-10 11:01:56,81.2,28.3,429,0.49,0.48,33%,False,
2026-01-10 11:02:01,80.8,27.4,429,8.28,0.55,33%,False,
2026-01-10 11:02:06,79.9,26.0,429,1.36,1.19,32%,False,
2026-01-10 11:02:11,79.9,29.6,429,0.63,0.24,31%,False,
2026-01-10 11:02:16,84.9,29.1,429,14.91,1.48,43%,False,
2026-01-10 11:02:21,85.1,26.6,429,5.37,1.26,33%,True,High RAM Auto-Trigger
2026-01-10 11:02:26,73.6,45.8,429,3.81,1.87,32%,False,
2026-01-10 11:02:31,65.5,37.6,429,2.25,1.83,31%,False,
2026-01-10 11:02:36,67.3,29.1,429,1.72,1.07,32%,False,
2026-01-10 11:02:41,68.7,33.6,429,3.74,2.61,34%,False,
2026-01-10 11:02:46,69.5,27.2,429,3.50,2.10,33%,False,
2026-01-10 11:02:51,70.5,28.7,429,1.55,1.88,32%,False,
2026-01-10 11:02:56,72.0,30.7,429,6.08,2.93,32%,False,
2026-01-10 11:03:01,75.0,40.4,430,3.24,4.15,33%,False,
2026-01-10 11:03:07,76.5,37.6,431,7.30,1.67,33%,False,
2026-01-10 11:03:12,77.2,43.1,432,6.90,2.61,33%,False,
2026-01-10 11:03:17,78.7,37.9,432,2.11,2.19,33%,False,
2026-01-10 11:03:22,78.7,34.3,432,2.61,4.26,43%,False,
2026-01-10 11:03:27,79.9,38.0,432,0.98,2.11,32%,False,
2026-01-10 11:03:32,85.0,34.3,432,2.14,1.36,33%,True,High RAM Auto-Trigger
2026-01-10 11:03:37,76.4,43.5,432,1.56,2.55,33%,False,
2026-01-10 11:03:42,70.4,46.6,431,1.37,0.85,31%,False,
2026-01-10 11:03:47,72.5,32.7,431,2.04,2.31,31%,False,
2026-01-10 11:03:52,75.2,36.6,431,2.21,2.42,33%,False,
2026-01-10 11:03:57,75.2,28.8,431,1.70,0.59,33%,False,
2026-01-10 11:04:02,75.5,29.6,431,1.85,0.52,32%,False,
2026-01-10 11:04:07,76.4,28.5,433,1.93,0.64,33%,False,
2026-01-10 11:04:12,77.3,39.2,431,1.28,0.49,33%,False,
2026-01-10 11:04:18,82.7,40.0,432,11.38,0.79,33%,False,
2026-01-10 11:04:23,85.0,38.3,433,16.90,1.04,6%,True,High RAM Auto-Trigger
2026-01-10 11:04:28,75.8,49.2,433,1.69,1.97,31%,False,
2026-01-10 11:04:33,69.3,41.7,433,0.66,0.58,32%,False,
2026-01-10 11:04:38,71.3,39.4,435,1.95,0.50,33%,False,
2026-01-10 11:04:43,72.1,39.6,432,0.87,0.34,32%,False,
2026-01-10 11:04:48,75.2,38.1,431,1.71,0.52,32%,False,
2026-01-10 11:04:53,75.3,33.0,431,0.88,0.35,33%,False,
2026-01-10 11:04:58,77.9,36.6,431,1.10,0.49,33%,False,
2026-01-10 11:05:03,79.8,42.2,432,1.27,0.64,31%,False,
2026-01-10 11:05:08,80.9,40.4,433,1.86,0.88,44%,False,
2026-01-10 11:05:13,80.4,41.8,431,1.10,0.51,32%,False,
2026-01-10 11:05:18,80.6,36.6,431,5.47,0.30,31%,False,
2026-01-10 11:05:24,76.0,34.5,431,1.60,0.55,31%,False,
2026-01-10 11:05:30,71.4,52.5,430,1.15,0.35,32%,False,
2026-01-10 11:05:35,78.0,45.5,431,0.97,0.29,36%,False,
2026-01-10 11:05:40,77.2,43.0,433,2.65,0.34,32%,False,
2026-01-10 11:05:45,78.0,33.3,433,5.62,0.27,34%,False,
2026-01-10 11:05:50,78.8,30.3,433,5.52,0.22,32%,False,
2026-01-10 11:05:55,79.8,31.6,433,9.63,0.30,31%,False,
2026-01-10 11:06:00,83.4,37.5,433,2.30,0.31,34%,False,
